Age,Gender,Nationality,Annual Income,Education,Employment,Flight Frequency (Annual),Primary Travel Reason,Loyalty Programs,Preferred Flight Class,Booking Method,Food Importance (1-5),Prefers Personalized Entertainment,Willing to Pay for Sustainability,Carbon Footprint Importance (1-5),Used Chauffeur Service,Willing to Upgrade to Premium Economy,Chauffeur Service Influences Booking,Extra Willingness to Pay for Meals (USD),Willingness to Pay More (%),Personalized App Improves Experience,Interest in Personalized Entertainment,Top Frustrations,Airline Selection Values,Useful In-App Features,Faced App Challenges,Type of Challenge,Beta Test Interest,Likelihood to Use Personalized App (1-5),Interest in Personalized Flying Experience
27,Male,UK,46959,Bachelor’s,Student,0–1,Family,,Business,Travel Aggregator,3,Indifferent,No,5,No,Maybe,Yes,16.07,0–10%,Yes,Yes,"Delays, Check-in Process","Comfort, Service Quality, Loyalty Program","Seat Upgrade Suggestions, Sustainability Score, Real-time Luggage Tracker",Yes,Slow Performance,Yes,2,Moderate
42,Male,Pakistan,107137,High School,Self-employed,2–4,Business,Qatar Privilege Club,Business,Airline App,2,Yes,Yes,4,Yes,Yes,Yes,20.63,0–10%,Yes,Maybe,"Delays, Inflight Entertainment, Customer Service, Cleanliness",Technology,Sustainability Score,Yes,Slow Performance,Yes,2,Moderate
26,Male,USA,40103,High School,Employed,0–1,Business,Emirates Skywards,Economy,Travel Aggregator,5,Yes,Maybe,3,No,Maybe,Maybe,8.7,0–10%,Yes,Yes,"Delays, Cost","Service Quality, Technology",Real-time Luggage Tracker,No,,No,3,Very High
21,Male,USA,72710,Bachelor’s,Employed,5–7,Leisure,"Etihad Guest, Other",Economy,Travel Aggregator,2,Yes,No,3,No,Yes,Maybe,32.37,0–10%,Yes,Yes,"Check-in Process, Cost, Sustainability",Service Quality,"Sustainability Score, AI-based Entertainment, Airport Map & Navigation",No,,Yes,5,Low
56,Female,Pakistan,63055,Master’s,Self-employed,2–4,Leisure,Qatar Privilege Club,Premium Economy,Airline App,4,Yes,No,3,Yes,Maybe,Yes,32.56,11–20%,No,Yes,"Delays, Check-in Process, Cost","Price, Comfort, Service Quality, Loyalty Program",,No,,No,2,Moderate
36,Female,Philippines,123938,Bachelor’s,Student,5–7,Business,,Economy,Airline App,1,No,No,5,No,Yes,Yes,20.27,>30%,No,No,"Delays, Food Quality, Inflight Entertainment, Cost, Sustainability, Cleanliness",,"Seat Upgrade Suggestions, Sustainability Score, Airport Map & Navigation",No,,Yes,1,Very High
35,Male,India,97885,Master’s,Employed,8+,Business,Other,Business,Airline App,1,Yes,Yes,3,Yes,Yes,Yes,35.72,0–10%,Yes,Yes,"Check-in Process, Sustainability",,Airport Map & Navigation,Yes,Lack of Features,No,1,High
33,Female,UK,87245,Doctorate,Employed,2–4,Business,,Business,Airline App,5,Yes,No,1,No,Yes,Yes,0.0,>30%,No,Yes,"Check-in Process, Inflight Entertainment",Environmental Responsibility,"Seat Upgrade Suggestions, AI-based Entertainment",No,,No,2,High
40,Male,Philippines,82461,Bachelor’s,Unemployed,2–4,Family,Etihad Guest,First Class,Airline App,4,Indifferent,Yes,3,No,Yes,Yes,14.4,0–10%,Yes,No,Check-in Process,"Comfort, Environmental Responsibility, Loyalty Program","Sustainability Score, AI-based Entertainment",No,,Maybe,2,Very High
39,Male,Other,91328,High School,Self-employed,2–4,Leisure,"Emirates Skywards, Other",Economy,Other,3,Yes,Yes,3,No,No,Yes,22.45,>30%,No,Yes,"Food Quality, Cost, Sustainability",Technology,,Yes,Bugs,Yes,2,Moderate
21,Male,Philippines,64806,Bachelor’s,Employed,2–4,Business,"Emirates Skywards, Etihad Guest, Other",Economy,Agent,4,Yes,Maybe,1,No,No,Yes,7.42,0–10%,Yes,Yes,"Customer Service, Cleanliness","Comfort, Technology, Loyalty Program","AI-based Entertainment, Real-time Luggage Tracker",No,,No,1,Low
40,Female,India,136600,Doctorate,Employed,2–4,Business,,Business,Agent,4,Indifferent,No,5,No,Yes,Yes,0.0,>30%,Yes,Yes,"Delays, Food Quality, Check-in Process, Customer Service, Cleanliness","Price, Service Quality, Environmental Responsibility","Seat Upgrade Suggestions, Sustainability Score",Yes,Slow Performance,Maybe,4,High
32,Non-binary,UAE,96341,Master’s,Self-employed,2–4,Business,Emirates Skywards,Premium Economy,Agent,3,No,Maybe,2,No,Yes,Yes,20.38,0–10%,Yes,Yes,"Check-in Process, Sustainability","Service Quality, Environmental Responsibility, Technology","Sustainability Score, AI-based Entertainment",Yes,User Interface,Maybe,5,High
38,Female,UK,90013,High School,Employed,8+,Leisure,Other,Business,Airline App,3,Yes,No,4,Yes,Maybe,Yes,35.41,>30%,Yes,No,"Food Quality, Check-in Process, Cost, Customer Service",,Real-time Luggage Tracker,No,,Maybe,4,Moderate
29,Male,Pakistan,32423,Master’s,Employed,8+,Business,"Emirates Skywards, Etihad Guest",Economy,Airline App,4,Yes,Yes,5,Yes,Yes,No,44.23,0–10%,Yes,Yes,"Delays, Food Quality, Inflight Entertainment, Cleanliness",Loyalty Program,"AI-based Entertainment, Real-time Luggage Tracker",No,,Maybe,1,High
69,Female,UK,122331,Bachelor’s,Employed,5–7,Family,"Qatar Privilege Club, Other",Premium Economy,Airline App,2,Yes,No,3,No,No,Maybe,16.79,0–10%,Yes,Yes,"Food Quality, Cost, Cleanliness",Price,"Seat Upgrade Suggestions, AI-based Entertainment, Real-time Luggage Tracker, Airport Map & Navigation",No,,No,1,Very High
37,Male,UK,27273,Doctorate,Employed,5–7,Business,,Premium Economy,Agent,2,No,Maybe,2,No,No,Yes,36.0,11–20%,Yes,Yes,"Delays, Food Quality, Customer Service, Sustainability","Price, Technology",,No,,Yes,3,Low
26,Female,Philippines,84561,High School,Self-employed,2–4,Business,Emirates Skywards,Economy,Travel Aggregator,4,Yes,Yes,4,Yes,Maybe,Yes,34.55,0–10%,Yes,Maybe,"Cost, Cleanliness",Comfort,,Yes,User Interface,Maybe,4,Moderate
48,Female,India,127620,Bachelor’s,Employed,2–4,Emergency,,Premium Economy,Airline App,2,Yes,Maybe,4,No,Maybe,Yes,43.28,11–20%,Yes,Yes,Food Quality,"Price, Comfort, Environmental Responsibility",,No,,No,2,High
31,Male,Philippines,69408,Master’s,Self-employed,5–7,Family,Emirates Skywards,Premium Economy,Airline App,3,Yes,No,4,No,Yes,Yes,19.75,>30%,Yes,No,"Delays, Check-in Process, Cost, Customer Service, Sustainability",Service Quality,Seat Upgrade Suggestions,No,,No,2,Moderate
46,Female,UK,54985,Bachelor’s,Employed,2–4,Business,"Emirates Skywards, Etihad Guest",Economy,Travel Aggregator,3,Indifferent,Yes,1,No,Maybe,Yes,0.0,11–20%,No,Yes,"Food Quality, Check-in Process, Cost, Sustainability","Comfort, Service Quality, Loyalty Program","AI-based Entertainment, Real-time Luggage Tracker",No,,No,1,High
22,Female,India,104909,Bachelor’s,Employed,8+,Family,Other,Economy,Travel Aggregator,2,Yes,No,1,No,Maybe,Yes,26.05,21–30%,Yes,Yes,"Delays, Inflight Entertainment, Sustainability","Environmental Responsibility, Loyalty Program","Sustainability Score, AI-based Entertainment",No,,No,3,High
20,Male,UK,46598,High School,Employed,2–4,Leisure,"Emirates Skywards, Etihad Guest",Premium Economy,Agent,3,Yes,Yes,2,No,Yes,Yes,9.79,0–10%,No,Maybe,"Check-in Process, Inflight Entertainment, Cost",Comfort,"Sustainability Score, Real-time Luggage Tracker",Yes,Bugs,No,4,Very High
44,Female,Pakistan,53776,Bachelor’s,Unemployed,2–4,Family,Emirates Skywards,Economy,Airline App,1,Yes,Yes,3,No,Maybe,Yes,14.15,11–20%,No,Yes,"Food Quality, Inflight Entertainment, Cleanliness","Price, Environmental Responsibility","Seat Upgrade Suggestions, AI-based Entertainment",No,,No,3,High
55,Male,UAE,124241,Bachelor’s,Retired,5–7,Leisure,,Business,Agent,3,Yes,Maybe,2,No,No,No,20.48,11–20%,Yes,Yes,"Cost, Cleanliness","Service Quality, Loyalty Program","Seat Upgrade Suggestions, Sustainability Score, Airport Map & Navigation",No,,Yes,5,High
40,Female,UAE,57150,Doctorate,Employed,8+,Leisure,,Economy,Travel Aggregator,4,No,Maybe,3,No,Yes,Yes,19.92,21–30%,Yes,Yes,"Delays, Inflight Entertainment, Cost, Customer Service",Service Quality,"AI-based Entertainment, Real-time Luggage Tracker",No,,Maybe,3,Moderate
41,Female,Other,64512,Bachelor’s,Student,2–4,Other,"Emirates Skywards, Other",Economy,Travel Aggregator,5,No,Maybe,5,No,Yes,Yes,27.12,0–10%,Yes,Yes,"Food Quality, Inflight Entertainment, Customer Service","Price, Service Quality","Sustainability Score, Real-time Luggage Tracker",No,,Maybe,5,Low
31,Female,UAE,107458,Bachelor’s,Self-employed,5–7,Business,Emirates Skywards,First Class,Agent,2,No,Maybe,4,Yes,No,Yes,35.55,11–20%,No,Yes,"Food Quality, Cost, Customer Service, Cleanliness",,Seat Upgrade Suggestions,No,,No,4,Moderate
18,Female,USA,93023,Master’s,Unemployed,2–4,Leisure,Other,First Class,Agent,2,No,Maybe,4,Yes,Yes,Yes,19.48,0–10%,Yes,Maybe,"Food Quality, Cost, Cleanliness",Technology,Airport Map & Navigation,Yes,Bugs,Yes,2,Low
32,Female,USA,155432,High School,Employed,2–4,Leisure,"Qatar Privilege Club, Etihad Guest, Other",Economy,Airline App,3,Yes,Maybe,1,Yes,Yes,Maybe,30.94,0–10%,Yes,Maybe,"Check-in Process, Customer Service","Environmental Responsibility, Technology","Sustainability Score, Airport Map & Navigation",No,,Yes,5,Very High
34,Male,UK,65523,Bachelor’s,Self-employed,5–7,Business,"Qatar Privilege Club, Etihad Guest",Business,Airline App,3,No,Yes,5,No,Yes,No,25.22,0–10%,Yes,Yes,"Food Quality, Customer Service, Sustainability","Price, Comfort",Seat Upgrade Suggestions,No,,Yes,2,Moderate
59,Female,USA,107711,Master’s,Employed,2–4,Business,Emirates Skywards,Economy,Travel Aggregator,5,Yes,No,5,No,Yes,Yes,39.03,0–10%,No,Yes,"Delays, Customer Service","Price, Service Quality, Environmental Responsibility, Loyalty Program",Seat Upgrade Suggestions,No,,Yes,3,Very High
49,Male,India,116808,Master’s,Employed,2–4,Business,"Emirates Skywards, Qatar Privilege Club, Other",Economy,Travel Aggregator,5,Yes,Yes,3,No,Yes,No,22.17,0–10%,Yes,No,"Food Quality, Cost",Service Quality,"Sustainability Score, AI-based Entertainment",No,,Yes,3,Very High
23,Female,USA,158703,Bachelor’s,Unemployed,2–4,Leisure,Qatar Privilege Club,Economy,Travel Aggregator,4,No,No,5,No,No,No,23.82,0–10%,No,Yes,Cost,Comfort,Real-time Luggage Tracker,No,,Yes,4,High
43,Male,India,69511,Master’s,Employed,2–4,Leisure,,Economy,Agent,1,Indifferent,Maybe,1,No,Yes,Yes,19.38,21–30%,Yes,Yes,"Food Quality, Customer Service, Cleanliness",Comfort,"Seat Upgrade Suggestions, Sustainability Score, AI-based Entertainment, Airport Map & Navigation",Yes,Slow Performance,Yes,2,Very High
33,Male,USA,58381,High School,Employed,2–4,Leisure,"Etihad Guest, Other",Business,Airline App,4,No,Yes,3,No,Maybe,Yes,22.57,0–10%,Yes,No,"Inflight Entertainment, Cost","Comfort, Technology, Loyalty Program",AI-based Entertainment,No,,No,4,Very High
30,Female,UAE,37070,Doctorate,Employed,2–4,Business,"Qatar Privilege Club, Other",Business,Travel Aggregator,2,Indifferent,No,2,No,Yes,Maybe,13.25,21–30%,Yes,No,Check-in Process,Environmental Responsibility,"Sustainability Score, AI-based Entertainment, Airport Map & Navigation",Yes,User Interface,Maybe,5,High
44,Male,USA,100620,High School,Self-employed,0–1,Leisure,"Qatar Privilege Club, Other",First Class,Airline App,3,Indifferent,No,3,Yes,Yes,Yes,11.76,0–10%,No,No,"Delays, Check-in Process, Cleanliness",,"Seat Upgrade Suggestions, AI-based Entertainment",No,,Yes,3,High
51,Female,UAE,54789,Master’s,Self-employed,8+,Other,"Emirates Skywards, Qatar Privilege Club, Other",Business,Agent,4,Yes,Yes,2,No,Yes,Yes,36.64,0–10%,Yes,No,"Food Quality, Check-in Process, Inflight Entertainment, Cost",,,No,,No,3,Very High
51,Male,India,75067,Bachelor’s,Employed,2–4,Leisure,"Qatar Privilege Club, Etihad Guest",Economy,Other,3,Indifferent,Yes,3,No,Yes,Yes,8.75,11–20%,No,Maybe,"Food Quality, Check-in Process, Sustainability",Technology,Seat Upgrade Suggestions,No,,Maybe,3,Very High
25,Male,India,109541,Doctorate,Unemployed,5–7,Leisure,,Premium Economy,Travel Aggregator,3,No,No,4,No,Yes,No,20.21,11–20%,Yes,Yes,"Delays, Food Quality, Check-in Process",Service Quality,"Sustainability Score, AI-based Entertainment, Real-time Luggage Tracker, Airport Map & Navigation",No,,Maybe,3,Moderate
39,Female,UAE,67418,Master’s,Employed,2–4,Family,,First Class,Airline App,4,Indifferent,Yes,2,No,No,Maybe,40.23,11–20%,Yes,Maybe,Cleanliness,"Comfort, Service Quality",,Yes,Lack of Features,Yes,3,High
42,Male,Philippines,131987,Master’s,Employed,2–4,Family,"Etihad Guest, Other",Business,Travel Aggregator,4,No,No,1,Yes,Maybe,Maybe,19.71,11–20%,Yes,Yes,"Food Quality, Inflight Entertainment, Cost, Customer Service, Cleanliness",Service Quality,Real-time Luggage Tracker,No,,Yes,5,High
49,Male,India,53947,Bachelor’s,Unemployed,2–4,Leisure,Other,Business,Travel Aggregator,5,Yes,No,2,No,Yes,No,37.43,0–10%,Yes,Yes,"Delays, Food Quality, Cost, Customer Service","Price, Comfort, Service Quality","Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,5,High
34,Female,Other,79700,Bachelor’s,Employed,2–4,Emergency,"Qatar Privilege Club, Other",First Class,Airline App,1,No,No,2,No,Yes,Maybe,16.13,11–20%,Yes,Yes,"Delays, Customer Service, Sustainability","Price, Comfort, Loyalty Program","Seat Upgrade Suggestions, Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,4,Moderate
53,Male,Other,95322,Bachelor’s,Employed,2–4,Leisure,Etihad Guest,Economy,Agent,5,Yes,Yes,3,Yes,Yes,No,9.23,11–20%,No,No,"Food Quality, Cost, Sustainability, Cleanliness","Service Quality, Technology, Loyalty Program",Real-time Luggage Tracker,No,,No,1,High
29,Female,USA,74710,Master’s,Employed,2–4,Emergency,Qatar Privilege Club,Business,Other,1,Indifferent,No,4,No,Maybe,No,1.08,0–10%,No,Yes,Delays,Loyalty Program,,No,,Yes,3,Low
33,Male,UAE,53932,High School,Student,2–4,Business,Qatar Privilege Club,Business,Travel Aggregator,4,Yes,Yes,3,No,Maybe,Maybe,44.69,21–30%,Yes,Maybe,"Cost, Customer Service","Price, Service Quality, Loyalty Program","Seat Upgrade Suggestions, Airport Map & Navigation",Yes,Lack of Features,Maybe,3,High
47,Male,India,85584,Other,Employed,0–1,Business,Other,First Class,Travel Aggregator,1,Yes,Maybe,3,No,Yes,Yes,7.95,21–30%,Yes,No,Check-in Process,"Comfort, Service Quality, Environmental Responsibility",AI-based Entertainment,No,,Yes,1,High
59,Female,Pakistan,135572,Master’s,Unemployed,2–4,Business,"Emirates Skywards, Other",Economy,Airline App,2,Yes,Yes,4,No,Yes,No,36.21,0–10%,Yes,Yes,,"Service Quality, Loyalty Program",Seat Upgrade Suggestions,No,,Maybe,4,High
43,Male,India,69674,Bachelor’s,Student,0–1,Family,"Emirates Skywards, Other",Premium Economy,Travel Aggregator,5,Yes,Maybe,3,No,Maybe,No,10.0,21–30%,No,No,"Food Quality, Inflight Entertainment, Sustainability, Cleanliness","Price, Technology",AI-based Entertainment,Yes,Slow Performance,Yes,5,High
55,Male,UAE,25636,Master’s,Employed,0–1,Leisure,Emirates Skywards,Premium Economy,Travel Aggregator,5,Yes,Maybe,4,Yes,Yes,Maybe,44.76,>30%,Yes,Maybe,"Cost, Customer Service, Cleanliness",Service Quality,Real-time Luggage Tracker,Yes,Slow Performance,No,3,Moderate
42,Male,USA,72197,Bachelor’s,Self-employed,8+,Business,,Economy,Airline App,5,Yes,Maybe,1,No,No,Maybe,58.1,11–20%,No,No,Inflight Entertainment,"Service Quality, Technology, Loyalty Program",Real-time Luggage Tracker,No,,No,4,Moderate
29,Male,Philippines,150444,Bachelor’s,Employed,2–4,Business,Emirates Skywards,Premium Economy,Airline App,3,Yes,Yes,4,No,Yes,Maybe,0.0,0–10%,Yes,Yes,"Food Quality, Customer Service, Sustainability",Service Quality,AI-based Entertainment,No,,No,1,High
39,Female,Pakistan,93657,Bachelor’s,Employed,2–4,Other,Other,Economy,Airline App,3,Yes,Yes,5,No,No,Maybe,8.73,>30%,Yes,Maybe,"Delays, Food Quality, Cost","Price, Service Quality, Environmental Responsibility",Real-time Luggage Tracker,No,,Yes,5,Moderate
56,Male,UAE,46654,Bachelor’s,Student,2–4,Family,,Economy,Airline App,4,Yes,No,4,Yes,Maybe,Yes,36.6,0–10%,No,No,"Food Quality, Inflight Entertainment, Sustainability","Price, Service Quality, Environmental Responsibility",AI-based Entertainment,Yes,User Interface,Yes,5,High
35,Female,USA,88167,Master’s,Unemployed,8+,Leisure,"Etihad Guest, Other",Economy,Travel Aggregator,4,Yes,Yes,4,No,Maybe,Yes,32.7,0–10%,Yes,Yes,"Delays, Food Quality, Cost, Sustainability, Cleanliness","Technology, Loyalty Program","Seat Upgrade Suggestions, Sustainability Score",No,,Yes,4,Very High
63,Female,India,83510,Bachelor’s,Employed,2–4,Leisure,,Premium Economy,Travel Aggregator,3,Indifferent,Maybe,5,No,Maybe,Yes,36.65,0–10%,Yes,Yes,"Delays, Food Quality, Check-in Process",Environmental Responsibility,"Real-time Luggage Tracker, Airport Map & Navigation",No,,No,2,Low
10,Male,India,117334,Bachelor’s,Employed,5–7,Leisure,"Emirates Skywards, Etihad Guest",Economy,Travel Aggregator,5,Yes,Yes,4,No,Yes,Yes,16.39,21–30%,No,Yes,"Delays, Food Quality, Check-in Process, Cost","Service Quality, Environmental Responsibility, Technology",,No,,Yes,2,Moderate
48,Female,Philippines,26996,Master’s,Employed,2–4,Leisure,"Etihad Guest, Other",Economy,Airline App,3,Yes,Maybe,2,Yes,Yes,Yes,54.81,>30%,Yes,Maybe,"Food Quality, Check-in Process, Cost, Customer Service",,Seat Upgrade Suggestions,Yes,Bugs,No,2,High
47,Male,India,101191,Master’s,Employed,8+,Other,Other,Economy,Travel Aggregator,1,Yes,Maybe,3,Yes,Yes,Yes,26.77,11–20%,Yes,Yes,Cost,"Price, Service Quality, Loyalty Program",,No,,Yes,1,High
34,Non-binary,India,127673,High School,Employed,5–7,Business,,Economy,Agent,5,Yes,Yes,3,Yes,Maybe,Yes,6.75,>30%,Yes,Yes,"Inflight Entertainment, Sustainability, Cleanliness","Price, Comfort, Environmental Responsibility","Sustainability Score, Airport Map & Navigation",No,,Yes,2,Moderate
46,Male,UAE,81420,Master’s,Employed,5–7,Leisure,Emirates Skywards,Economy,Travel Aggregator,3,No,No,1,No,Maybe,Maybe,21.2,0–10%,Yes,Maybe,"Sustainability, Cleanliness",Comfort,Airport Map & Navigation,No,,No,4,Moderate
17,Female,Philippines,71227,Bachelor’s,Self-employed,0–1,Leisure,Etihad Guest,Economy,Other,4,Yes,Yes,1,Yes,Yes,Yes,6.95,0–10%,Yes,Yes,"Customer Service, Sustainability","Comfort, Loyalty Program",Sustainability Score,No,,No,5,Moderate
34,Female,Pakistan,110452,Bachelor’s,Employed,2–4,Leisure,Etihad Guest,Premium Economy,Travel Aggregator,3,Yes,Yes,5,No,Yes,Maybe,48.86,11–20%,Yes,Maybe,"Delays, Cleanliness","Price, Service Quality, Technology","Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,4,High
41,Male,USA,135109,Bachelor’s,Employed,2–4,Leisure,"Emirates Skywards, Qatar Privilege Club",Business,Travel Aggregator,2,Yes,Yes,2,No,No,Maybe,15.1,>30%,Yes,Yes,"Cost, Sustainability","Environmental Responsibility, Technology",Seat Upgrade Suggestions,Yes,Slow Performance,No,4,High
55,Female,Pakistan,40117,Bachelor’s,Student,2–4,Leisure,,Economy,Airline App,3,No,Maybe,1,No,Maybe,Yes,32.39,11–20%,Yes,Yes,"Check-in Process, Inflight Entertainment","Service Quality, Technology",Real-time Luggage Tracker,No,,Maybe,3,Very High
43,Female,UAE,116257,Master’s,Student,5–7,Business,Qatar Privilege Club,Economy,Travel Aggregator,5,No,No,3,No,No,Yes,17.94,0–10%,Yes,Yes,,"Environmental Responsibility, Loyalty Program",Seat Upgrade Suggestions,No,,Yes,1,High
28,Male,UK,82742,Bachelor’s,Employed,0–1,Leisure,Etihad Guest,Business,Agent,3,Yes,No,1,No,Yes,No,15.77,0–10%,Yes,Maybe,"Food Quality, Check-in Process, Cleanliness",Service Quality,Real-time Luggage Tracker,No,,Yes,5,High
32,Male,India,91065,Master’s,Employed,0–1,Business,"Emirates Skywards, Etihad Guest",Economy,Agent,4,Yes,Yes,1,No,Yes,No,0.0,0–10%,Yes,No,"Delays, Cost, Cleanliness",Loyalty Program,"AI-based Entertainment, Real-time Luggage Tracker",Yes,User Interface,No,3,Moderate
53,Female,UAE,82978,High School,Self-employed,2–4,Business,,First Class,Other,1,Yes,No,4,No,Yes,Yes,33.97,0–10%,Yes,Maybe,"Check-in Process, Cost, Customer Service, Sustainability","Price, Comfort, Service Quality, Environmental Responsibility, Loyalty Program","Seat Upgrade Suggestions, Airport Map & Navigation",Yes,User Interface,Maybe,1,Very High
40,Female,UK,88667,Bachelor’s,Employed,0–1,Business,,Business,Airline App,2,No,Yes,1,Yes,Maybe,Yes,44.49,0–10%,Yes,No,Cleanliness,Technology,,No,,Yes,5,High
30,Non-binary,Other,121594,Other,Employed,2–4,Family,"Emirates Skywards, Etihad Guest",Economy,Travel Aggregator,5,Yes,Yes,5,Yes,Maybe,Yes,11.26,>30%,Yes,Yes,"Inflight Entertainment, Cleanliness",Service Quality,"AI-based Entertainment, Real-time Luggage Tracker",No,,No,3,High
42,Female,UAE,65027,Master’s,Self-employed,5–7,Leisure,,Economy,Travel Aggregator,4,Yes,Yes,3,No,Maybe,Yes,1.82,11–20%,No,Yes,"Delays, Customer Service","Price, Loyalty Program",Seat Upgrade Suggestions,Yes,Slow Performance,Maybe,2,High
36,Female,India,33352,Bachelor’s,Employed,2–4,Leisure,"Emirates Skywards, Etihad Guest",Premium Economy,Travel Aggregator,2,Yes,No,5,No,Maybe,Yes,37.05,11–20%,Yes,Yes,Cleanliness,"Price, Comfort, Service Quality, Environmental Responsibility, Technology, Loyalty Program","Sustainability Score, Real-time Luggage Tracker",Yes,Bugs,No,4,Moderate
